fold,measure,MAE,RMSE
0,chest_circ,5.237780757013498,6.631149107083588
0,waist_circ,6.954032469997695,8.800405388592793
0,hip_circ,3.9623420567483203,5.0952967944129455
0,thigh_circ,3.0282431599870576,3.8196476573539866
0,knee_circ,2.118295966434779,2.6797526393324174
0,calf_circ,2.0279274489443844,2.5491329356355354
0,abd_circ,7.5215334557835645,9.581464022427527
0,neck_circ,1.8726482236877635,2.3722033094182953
0,biceps_circ,2.1248438636645406,2.658699208027843
0,macro_avg,3.871960822473511,4.909750118031659
1,chest_circ,5.22950232909264,6.601214941822872
1,waist_circ,6.800556913524355,8.622595341085802
1,hip_circ,3.989196215405025,5.045878058868666
1,thigh_circ,3.0113747311862316,3.783555698310178
1,knee_circ,2.1195084145884624,2.6728870853916455
1,calf_circ,1.9957399397652673,2.4935004777555045
1,abd_circ,7.36920639273162,9.4130950137602
1,neck_circ,1.762091781993135,2.2154825132774523
1,biceps_circ,2.1024527342958566,2.642396635797224
1,macro_avg,3.819958828064733,4.832289529563283
2,chest_circ,5.131502666192915,6.451607481109654
2,waist_circ,6.844333338981758,8.698173624152224
2,hip_circ,3.7293164950251025,4.80475681051991
2,thigh_circ,2.9269660401806648,3.6559477712449557
2,knee_circ,2.047141753626335,2.5651376440859606
2,calf_circ,1.9683443609061841,2.453634374342245
2,abd_circ,7.465456284512811,9.532284882146907
2,neck_circ,1.8424805104247683,2.3047069467781944
2,biceps_circ,2.0158288034346663,2.5320475929775896
2,macro_avg,3.7745966948094667,4.777588569706405
3,chest_circ,5.192962629410822,6.542911650887646
3,waist_circ,6.824580673381771,8.664553551186652
3,hip_circ,3.8057022959034086,4.862878291394885
3,thigh_circ,2.9618780252489407,3.726611604279767
3,knee_circ,2.08156460147606,2.612597704174516
3,calf_circ,1.975254856729932,2.4802474976218294
3,abd_circ,7.433715618688328,9.466223986780303
3,neck_circ,1.8008781048563627,2.2980732087821805
3,biceps_circ,2.0524463161317845,2.574335307587045
3,macro_avg,3.792109235758601,4.803159200299425
4,chest_circ,5.135324808298915,6.455707526060381
4,waist_circ,6.701423621606875,8.519054161969333
4,hip_circ,3.7568453019552392,4.813376989020205
4,thigh_circ,2.884431477430155,3.639052969923294
4,knee_circ,2.027480573131554,2.573967248711637
4,calf_circ,2.0123477513978427,2.52969668978716
4,abd_circ,7.246164353635846,9.322815349626891
4,neck_circ,1.7762501688069476,2.2411306262753996
4,biceps_circ,2.0845142900357314,2.6157910670574687
4,macro_avg,3.7360869273665673,4.7456214031590855
